	Scores
Sentence1859	0.9974822816654065
Sentence1912	0.9974763155002417
Sentence550	0.9974683544303797
Sentence661	0.9974361151015904
Sentence3451	0.9973828879834379
Sentence651	0.997364639223918
Sentence4123	0.9973590861094959
Sentence5299	0.9973335313703403
Sentence476	0.9973172987077952
Sentence3957	0.9972812737418003
Sentence4393	0.99726816728492
Sentence532	0.9972535431695558
Sentence6050	0.9972530476874162
Sentence5344	0.997236190148581
Sentence1813	0.9972254000352694
Sentence118	0.9972036553480536
Sentence1418	0.9971926991145482
Sentence4801	0.9971899436721994
Sentence3561	0.9971695921109305
Sentence6179	0.9971694475064254
Sentence5635	0.9971600534591923
Sentence4985	0.9971583113723058
Sentence190	0.9971452300066229
Sentence4223	0.9971381410566836
Sentence5054	0.9971034743261326
Sentence5128	0.9971016832280177
Sentence1008	0.9970989971029838
Sentence2417	0.9970738451270306
Sentence5477	0.9970687805333727
Sentence27	0.9970643240837468
Sentence5835	0.9970609268100755
Sentence6086	0.9970476213219902
Sentence4870	0.9970162832802151
Sentence841	0.9970038501324723
Sentence1341	0.9969873684231902
Sentence2484	0.9969751076464363
Sentence5995	0.996921877822144
Sentence2416	0.9969176381535176
Sentence5540	0.9968870347777049
Sentence159	0.996876392124674
Sentence5498	0.9968324399347311
Sentence5884	0.9968208408801835
Sentence2924	0.9968167979368614
Sentence5433	0.9968126982095171
Sentence4148	0.996800983036467
Sentence3869	0.9967765250334741
Sentence4878	0.9967718034272846
Sentence1610	0.9967566510603
Sentence497	0.9967509559811862
Sentence1817	0.996745950564572
Sentence3406	0.9967393465609666
Sentence4797	0.9967377970703399
Sentence4378	0.9967369568840881
Sentence1821	0.9967282609340821
Sentence5682	0.9967253837228665
Sentence322	0.9967120614026961
Sentence109	0.9967077629443717
Sentence3280	0.996697436064761
Sentence1221	0.9966846589086586
Sentence1702	0.9966682033918195
Sentence1469	0.9966678839459702
Sentence4860	0.9966418481494375
Sentence1612	0.9966405985048068
Sentence6098	0.9966312629134222
Sentence4165	0.9966096076210664
Sentence3030	0.9966015379018069
Sentence3146	0.9966005692523504
Sentence1623	0.9966003396559705
Sentence2788	0.9965966742062801
Sentence4220	0.996594918209493
Sentence3452	0.996594555397005
Sentence966	0.9965825806197396
Sentence1439	0.9965716442650526
Sentence5800	0.9965568191543117
Sentence5289	0.9965495084736405
Sentence1113	0.9965405791112737
Sentence1066	0.9965385681331135
Sentence3106	0.9965202482522704
Sentence5396	0.9965178396366513
Sentence2906	0.9965068406769925
Sentence4483	0.9965044600700399
Sentence1441	0.996491527786738
Sentence4563	0.9964780292084349
Sentence2963	0.9964664317607262
Sentence4780	0.996459783186362
Sentence485	0.9964289152613537
Sentence3487	0.9963808561997528
Sentence2424	0.9963797833557286
Sentence2747	0.9963680712615209
Sentence6199	0.9963478290478707
Sentence3663	0.9963289893124715
Sentence3975	0.9963152159174659
Sentence229	0.996312678365387
Sentence4061	0.996311116298909
Sentence4344	0.9963070538227393
Sentence1445	0.9963069814096611
Sentence4693	0.9962862640022049
Sentence583	0.9962803324569377
Sentence4553	0.9962633692428213
Sentence5290	0.996255273867847
Sentence1215	0.9962520020504625
Sentence5187	0.996240335270298
Sentence1108	0.9962052127591831
Sentence907	0.9961910590502946
Sentence2715	0.9961858917888715
Sentence5849	0.9961517012760556
Sentence4213	0.9961488336446607
Sentence4609	0.9961457688370563
Sentence1478	0.9961162590416512
Sentence5114	0.9961065834022863
Sentence4092	0.9960902029262655
Sentence838	0.9960853163385442
Sentence3967	0.9960832015487331
Sentence3066	0.9960806187353153
Sentence2699	0.9960601362210412
Sentence2376	0.9960590171906697
Sentence3738	0.9960578438335604
Sentence5456	0.9960569171903135
Sentence3721	0.9960475595347213
Sentence4107	0.9960353808746749
Sentence3592	0.9960317485122377
Sentence1000	0.9960285113495381
Sentence850	0.9960111508214045
Sentence785	0.9959972256750476
Sentence6269	0.9959947413806558
Sentence736	0.995990131044015
Sentence5955	0.9959882509781603
Sentence294	0.9959392066249115
Sentence5861	0.9959389512606854
Sentence4048	0.9959295975330786
Sentence5036	0.9959253116126405
Sentence4824	0.9959186107252604
Sentence4695	0.9959023246149409
Sentence1922	0.9958982729232495
Sentence3228	0.9958923502826502
Sentence3316	0.9958805629239462
Sentence2494	0.9958797209920845
Sentence3849	0.9958360475940108
Sentence463	0.9958158886719177
Sentence1499	0.9957908078215356
Sentence3856	0.9957889204656996
Sentence4779	0.9957851472906049
Sentence794	0.9957618081766573
Sentence5294	0.9957573795946921
Sentence2310	0.9957324888607063
Sentence1850	0.9957291562024693
Sentence3107	0.9957218021297931
Sentence1023	0.995721802129793
Sentence4384	0.995721802129793
Sentence2027	0.9957060050388942
Sentence4743	0.9956945663988659
Sentence4489	0.995689517855428
Sentence2903	0.9956804066343918
Sentence1762	0.9956783236555399
Sentence2895	0.9956611378279779
Sentence580	0.9956562039329675
Sentence1852	0.9956553928402154
Sentence5368	0.9956513888180524
Sentence197	0.9956307309700559
Sentence1455	0.9956288553184015
Sentence5953	0.9956075880459316
Sentence3444	0.9955927723037334
Sentence5971	0.9955757002294578
Sentence4542	0.9955697740932935
Sentence1584	0.9955125785140879
Sentence1090	0.995481981121058
Sentence5342	0.9954719279472541
Sentence5211	0.9954604019946652
Sentence2647	0.9954535415190623
Sentence2505	0.9954398988131313
