	0	1	2	3	4	5	6	7	8	9
Sentence18	('model1-model2', 0.9824567459980468)	('model1-model3', 0.9897343574000884)	('model1-model4', 0.9953739150536499)	('model1-model5', 0.9804619410677768)	('model2-model3', 0.9943506535917913)	('model2-model4', 0.9885220724374943)	('model2-model5', 0.9777904898758508)	('model3-model4', 0.9943342320224882)	('model3-model5', 0.9770361471755044)	('model4-model5', 0.9826033497692226)
Sentence19	('model1-model2', 1.0000000000000002)	('model1-model3', 0.998710366947587)	('model1-model4', 0.9941267907691381)	('model1-model5', 0.5250287081021592)	('model2-model3', 0.998710366947587)	('model2-model4', 0.9941267907691381)	('model2-model5', 0.5250287081021592)	('model3-model4', 0.9941373098269966)	('model3-model5', 0.5281751292119894)	('model4-model5', 0.5217866732847654)
Sentence20	('model1-model2', 0.9995142203636936)	('model1-model3', 0.9988446008505139)	('model1-model4', 1.0)	('model1-model5', 1.0)	('model2-model3', 0.9992557358966276)	('model2-model4', 0.9995142203636936)	('model2-model5', 0.9995142203636936)	('model3-model4', 0.9988446008505139)	('model3-model5', 0.9988446008505139)	('model4-model5', 1.0)
Sentence21	('model1-model2', 0.9931074239494108)	('model1-model3', 0.997219561665619)	('model1-model4', 0.9989348286602875)	('model1-model5', 0.9927521226041816)	('model2-model3', 0.9920128200646072)	('model2-model4', 0.9929616423941497)	('model2-model5', 0.9855042246857457)	('model3-model4', 0.9985944271337409)	('model3-model5', 0.9874424595400172)	('model4-model5', 0.9903456018512925)
Sentence22	('model1-model2', 0.9949535662765991)	('model1-model3', 0.9949535662765991)	('model1-model4', 0.9949535662765991)	('model1-model5', 0.9817056669473112)	('model2-model3', 1.0)	('model2-model4', 1.0)	('model2-model5', 0.9769529464362392)	('model3-model4', 1.0)	('model3-model5', 0.9769529464362392)	('model4-model5', 0.9769529464362392)
Sentence23	('model1-model2', 0.9919294302491194)	('model1-model3', 0.9905082087396642)	('model1-model4', 0.9905082087396642)	('model1-model5', 0.9905082087396642)	('model2-model3', 0.9981300945411437)	('model2-model4', 0.9981300945411437)	('model2-model5', 0.9981300945411437)	('model3-model4', 1.0)	('model3-model5', 1.0)	('model4-model5', 1.0)
Sentence24	('model1-model2', 0.9950558083164248)	('model1-model3', 0.9873505051228557)	('model1-model4', 0.9992975116442101)	('model1-model5', 0.9978042134798325)	('model2-model3', 0.9842743090683678)	('model2-model4', 0.9956128275743426)	('model2-model5', 0.9977541183523925)	('model3-model4', 0.9880059397345347)	('model3-model5', 0.9860571775285073)	('model4-model5', 0.9984248528184805)
Sentence25	('model1-model2', 0.6990635055966177)	('model1-model3', 0.5057055146869149)	('model1-model4', 0.5494422557947561)	('model1-model5', 0.9091372900969896)	('model2-model3', 0.9024390243902439)	('model2-model4', 0.8580846402802882)	('model2-model5', 0.9055385138137416)	('model3-model4', 0.9867973363223315)	('model3-model5', 0.7730206825239258)	('model4-model5', 0.7770286898858113)
Sentence26	('model1-model2', 0.9918175550027024)	('model1-model3', 0.9932716234989548)	('model1-model4', 0.9920916846023865)	('model1-model5', 0.9779670730390948)	('model2-model3', 0.9991125620923501)	('model2-model4', 0.9923920809637383)	('model2-model5', 0.983225034223284)	('model3-model4', 0.9921625053254014)	('model3-model5', 0.9791713913457359)	('model4-model5', 0.984611424187466)
Sentence27	('model1-model2', 0.9932887569385497)	('model1-model3', 0.9951663013223759)	('model1-model4', 0.987972593661731)	('model1-model5', 0.9932887569385497)	('model2-model3', 0.9977486102490809)	('model2-model4', 0.9825491322636644)	('model2-model5', 1.0)	('model3-model4', 0.9818990443514598)	('model3-model5', 0.9977486102490809)	('model4-model5', 0.9825491322636644)
Sentence28	('model1-model2', 0.9997228109618957)	('model1-model3', 0.9963830256346657)	('model1-model4', 0.9900304907530688)	('model1-model5', 0.9992034477428204)	('model2-model3', 0.9971237028071317)	('model2-model4', 0.9906387607193373)	('model2-model5', 0.999298093940674)	('model3-model4', 0.9909708703509167)	('model3-model5', 0.9965090152026386)	('model4-model5', 0.9890139666464012)
Sentence29	('model1-model2', 0.9433011595111047)	('model1-model3', 0.9594167962516534)	('model1-model4', 0.9415884441722431)	('model1-model5', 0.9378935112376522)	('model2-model3', 0.9927685023029411)	('model2-model4', 0.9937132564411979)	('model2-model5', 0.9875794353857572)	('model3-model4', 0.9928429230989141)	('model3-model5', 0.986569583869089)	('model4-model5', 0.9908333469616107)
Sentence30	('model1-model2', 0.9895040419247396)	('model1-model3', 0.9604269153905521)	('model1-model4', 0.9939395655502108)	('model1-model5', 0.9841968658306605)	('model2-model3', 0.9597531624424605)	('model2-model4', 0.9808398149365791)	('model2-model5', 0.9861612890398368)	('model3-model4', 0.9724003457424067)	('model3-model5', 0.9672227554016548)	('model4-model5', 0.978373517223028)
Sentence31	('model1-model2', 0.9624620549724153)	('model1-model3', 0.9540634227473069)	('model1-model4', 0.9629557914260373)	('model1-model5', 0.9789650783910174)	('model2-model3', 0.9814969316568706)	('model2-model4', 0.9919188158711135)	('model2-model5', 0.970444447282576)	('model3-model4', 0.982188249452009)	('model3-model5', 0.9716344582486673)	('model4-model5', 0.9620561767015872)
Sentence32	('model1-model2', 0.6261594582265763)	('model1-model3', 0.6402096952489842)	('model1-model4', 0.6128908741395641)	('model1-model5', 0.9981557938824758)	('model2-model3', 0.9833292890364734)	('model2-model4', 0.90237977066523)	('model2-model5', 0.6341996193299104)	('model3-model4', 0.9346989321082702)	('model3-model5', 0.6467131456886701)	('model4-model5', 0.6280874910891168)
Sentence33	('model1-model2', 0.8120772101577801)	('model1-model3', 0.8052923571658619)	('model1-model4', 0.8068051241062432)	('model1-model5', 0.7885513378012954)	('model2-model3', 0.9908071216818358)	('model2-model4', 0.9797609270915322)	('model2-model5', 0.9906769180920177)	('model3-model4', 0.9789124468116356)	('model3-model5', 0.9931135861371786)	('model4-model5', 0.9760306757416282)
Sentence34	('model1-model2', 0.9857016773707946)	('model1-model3', 0.9790246764528799)	('model1-model4', 0.9683014473522036)	('model1-model5', 0.954495708650695)	('model2-model3', 0.9851452263583094)	('model2-model4', 0.972353596622717)	('model2-model5', 0.9525320973550121)	('model3-model4', 0.99436656513188)	('model3-model5', 0.950328185414251)	('model4-model5', 0.9248500472097718)
Sentence35	('model1-model2', 0.9878481835993418)	('model1-model3', 0.9815130911509904)	('model1-model4', 0.9956031340853646)	('model1-model5', 0.9810641667066228)	('model2-model3', 0.9852818869943963)	('model2-model4', 0.9819353625565257)	('model2-model5', 0.9858399931486795)	('model3-model4', 0.9817149856129829)	('model3-model5', 0.9994338775479166)	('model4-model5', 0.981776193269569)
Sentence36	('model1-model2', 0.9923552230897916)	('model1-model3', 0.9894002337671193)	('model1-model4', 0.9720535884989766)	('model1-model5', 0.9844516342318125)	('model2-model3', 0.9887435926672484)	('model2-model4', 0.9807058822887929)	('model2-model5', 0.9904710866280564)	('model3-model4', 0.9663812678284178)	('model3-model5', 0.9858378000123678)	('model4-model5', 0.9904333051978252)
Sentence37	('model1-model2', 0.992447540368274)	('model1-model3', 0.9979850500917928)	('model1-model4', 0.9915278853117321)	('model1-model5', 0.9979850500917928)	('model2-model3', 0.9943960626489651)	('model2-model4', 0.9903668248922619)	('model2-model5', 0.9943960626489651)	('model3-model4', 0.9931754527545378)	('model3-model5', 0.9999999999999999)	('model4-model5', 0.9931754527545378)
Sentence38	('model1-model2', 0.8960059127572015)	('model1-model3', 0.8987465588005905)	('model1-model4', 0.8449021406483659)	('model1-model5', 0.8810161614825496)	('model2-model3', 0.943626042204687)	('model2-model4', 0.9606627916994755)	('model2-model5', 0.9864824674059466)	('model3-model4', 0.9264296462230263)	('model3-model5', 0.9670104909552358)	('model4-model5', 0.9584687451206066)
Sentence39	('model1-model2', 0.9894682015337887)	('model1-model3', 0.9852752922128749)	('model1-model4', 0.9906869989756764)	('model1-model5', 0.9957365028598875)	('model2-model3', 0.9820468987131394)	('model2-model4', 0.98248185745015)	('model2-model5', 0.9813761644246095)	('model3-model4', 0.9867397925898016)	('model3-model5', 0.981508485619658)	('model4-model5', 0.9869379515155605)
Sentence40	('model1-model2', 0.996713033576773)	('model1-model3', 0.999022019762979)	('model1-model4', 0.9987119170280966)	('model1-model5', 0.9999999999999999)	('model2-model3', 0.9965882173455951)	('model2-model4', 0.9947039479407335)	('model2-model5', 0.996713033576773)	('model3-model4', 0.9975751871776434)	('model3-model5', 0.999022019762979)	('model4-model5', 0.9987119170280966)
Sentence41	('model1-model2', 0.9102866431913317)	('model1-model3', 0.932395538088655)	('model1-model4', 0.9823774743872163)	('model1-model5', 0.9339569553098602)	('model2-model3', 0.9775659370095876)	('model2-model4', 0.8909768813654643)	('model2-model5', 0.9757388363712489)	('model3-model4', 0.9150504286448446)	('model3-model5', 0.9792376324957439)	('model4-model5', 0.9193194851282936)
Sentence42	('model1-model2', 0.9965457582448796)	('model1-model3', 0.9965457582448796)	('model1-model4', 0.9883635995760601)	('model1-model5', 0.9965457582448796)	('model2-model3', 1.0)	('model2-model4', 0.9868917543826918)	('model2-model5', 1.0)	('model3-model4', 0.9868917543826918)	('model3-model5', 1.0)	('model4-model5', 0.9868917543826918)
Sentence43	('model1-model2', 0.9445888716354022)	('model1-model3', 0.916205773631219)	('model1-model4', 0.9600213340444708)	('model1-model5', 0.916205773631219)	('model2-model3', 0.8745829463880035)	('model2-model4', 0.9850715950637067)	('model2-model5', 0.8745829463880035)	('model3-model4', 0.8680793493344059)	('model3-model5', 1.0)	('model4-model5', 0.8680793493344059)
Sentence44	('model1-model2', 0.9675963256103091)	('model1-model3', 0.9734640784218573)	('model1-model4', 0.9277224221820376)	('model1-model5', 0.9506606350690188)	('model2-model3', 0.9677675723406287)	('model2-model4', 0.9562014390561123)	('model2-model5', 0.9594259139147681)	('model3-model4', 0.9688949838609276)	('model3-model5', 0.9785885079952124)	('model4-model5', 0.9898145360174044)
Sentence45	('model1-model2', 0.7697796011145768)	('model1-model3', 0.983132334191489)	('model1-model4', 0.9925134669724064)	('model1-model5', 0.9907368764816505)	('model2-model3', 0.7664505151423074)	('model2-model4', 0.7754951147961425)	('model2-model5', 0.7649275743861161)	('model3-model4', 0.9709053577124411)	('model3-model5', 0.9839748449854098)	('model4-model5', 0.9829551367105605)
Sentence46	('model1-model2', 0.934032882911212)	('model1-model3', 0.9344261842131296)	('model1-model4', 0.9529039283259633)	('model1-model5', 0.9624899004748496)	('model2-model3', 0.8781140799175228)	('model2-model4', 0.9383469256006061)	('model2-model5', 0.9076064916190616)	('model3-model4', 0.9231635440993141)	('model3-model5', 0.9105600465374964)	('model4-model5', 0.9062426944675589)
Sentence47	('model1-model2', 0.9976822082721171)	('model1-model3', 1.0)	('model1-model4', 0.9980422728779583)	('model1-model5', 0.9980422728779583)	('model2-model3', 0.9976822082721171)	('model2-model4', 0.9980413190768739)	('model2-model5', 0.9980413190768739)	('model3-model4', 0.9980422728779583)	('model3-model5', 0.9980422728779583)	('model4-model5', 0.9999999999999999)
Sentence48	('model1-model2', 0.9686495246396675)	('model1-model3', 0.9834024660055056)	('model1-model4', 0.9852117548196743)	('model1-model5', 0.9600697234239975)	('model2-model3', 0.9703196609681889)	('model2-model4', 0.927147384576623)	('model2-model5', 0.9989776310101408)	('model3-model4', 0.9736550732578104)	('model3-model5', 0.9587954138870475)	('model4-model5', 0.9118354009631412)
Sentence49	('model1-model2', 0.9902588577893572)	('model1-model3', 0.9898179863740599)	('model1-model4', 0.985036707713755)	('model1-model5', 0.9893927400475333)	('model2-model3', 0.9763814854621643)	('model2-model4', 0.9918512597541402)	('model2-model5', 0.9984288649979907)	('model3-model4', 0.9699635441317386)	('model3-model5', 0.9746606661884577)	('model4-model5', 0.9886560797090657)
Sentence50	('model1-model2', 0.977603807774247)	('model1-model3', 0.9875227862911672)	('model1-model4', 0.9675974793493849)	('model1-model5', 0.9913238855318809)	('model2-model3', 0.9805515761827696)	('model2-model4', 0.9934460749716781)	('model2-model5', 0.9785390943157224)	('model3-model4', 0.9727157901367446)	('model3-model5', 0.9848433762374736)	('model4-model5', 0.9700778045699111)
Sentence51	('model1-model2', 0.9983403675830114)	('model1-model3', 0.9983403675830114)	('model1-model4', 0.9983403675830114)	('model1-model5', 0.9983403675830114)	('model2-model3', 1.0)	('model2-model4', 1.0)	('model2-model5', 1.0)	('model3-model4', 1.0)	('model3-model5', 1.0)	('model4-model5', 1.0)
Sentence52	('model1-model2', 0.9936237394472922)	('model1-model3', 0.9936237394472922)	('model1-model4', 0.9797359080006796)	('model1-model5', 0.9936237394472922)	('model2-model3', 1.0000000000000002)	('model2-model4', 0.9823022061747848)	('model2-model5', 1.0000000000000002)	('model3-model4', 0.9823022061747848)	('model3-model5', 1.0000000000000002)	('model4-model5', 0.9823022061747848)
Sentence53	('model1-model2', 0.9827041002692886)	('model1-model3', 0.9724356884385201)	('model1-model4', 0.9736380468542093)	('model1-model5', 0.9737913916452798)	('model2-model3', 0.9726940082233639)	('model2-model4', 0.9596421768091717)	('model2-model5', 0.9705626748682064)	('model3-model4', 0.9769244818812605)	('model3-model5', 0.9555251455042689)	('model4-model5', 0.9495430982277092)
Sentence54	('model1-model2', 0.9926483960368729)	('model1-model3', 0.9876489616405245)	('model1-model4', 0.9667730407022563)	('model1-model5', 0.9928511279172316)	('model2-model3', 0.9905072696163268)	('model2-model4', 0.9679543119807369)	('model2-model5', 0.993044980031351)	('model3-model4', 0.9758032730955429)	('model3-model5', 0.9922313914948909)	('model4-model5', 0.9756754142543993)
Sentence55	('model1-model2', 0.9991880919044484)	('model1-model3', 0.999463839356767)	('model1-model4', 0.9992316532181775)	('model1-model5', 0.9993710779618493)	('model2-model3', 0.999487350465412)	('model2-model4', 0.9982494490327832)	('model2-model5', 0.9991705525082071)	('model3-model4', 0.9986773796880951)	('model3-model5', 0.9992538509195315)	('model4-model5', 0.9989471724051251)
Sentence56	('model1-model2', 0.9929126689462923)	('model1-model3', 0.9911126412583005)	('model1-model4', 0.9929916874420962)	('model1-model5', 0.9876715447626251)	('model2-model3', 0.9817589749343705)	('model2-model4', 0.9978880652244017)	('model2-model5', 0.9897180984054036)	('model3-model4', 0.980081671840001)	('model3-model5', 0.9929182866873749)	('model4-model5', 0.9898641906701562)
Sentence57	('model1-model2', 0.998881665967325)	('model1-model3', 0.9995935032656099)	('model1-model4', 0.9952299579786471)	('model1-model5', 1.0000000000000002)	('model2-model3', 0.998176715884735)	('model2-model4', 0.9930483720719017)	('model2-model5', 0.998881665967325)	('model3-model4', 0.9958981532748702)	('model3-model5', 0.9995935032656099)	('model4-model5', 0.9952299579786471)
Sentence58	('model1-model2', 0.9206785013354642)	('model1-model3', 0.982758620689655)	('model1-model4', 0.9384975739224123)	('model1-model5', 0.9638111202541978)	('model2-model3', 0.938383857130377)	('model2-model4', 0.865410983413526)	('model2-model5', 0.947630959070988)	('model3-model4', 0.9384975739224123)	('model3-model5', 0.9843177398340743)	('model4-model5', 0.9112113780030294)
Sentence59	('model1-model2', 0.9875553872947719)	('model1-model3', 0.8497377975476934)	('model1-model4', 0.7908092925290993)	('model1-model5', 0.8544141349019461)	('model2-model3', 0.7777038178403617)	('model2-model4', 0.6909303948179605)	('model2-model5', 0.7819524788389924)	('model3-model4', 0.9485424479946737)	('model3-model5', 0.9967105986914454)	('model4-model5', 0.9548451249581604)
